,PC1,PC2,Groupping
0,-3.0920104643184687,-1.0900221485004091,1
1,-3.0920104643184687,-1.0900221485004091,1
2,-3.0920104643184687,-1.0900221485004091,1
3,-3.0920104643184687,-1.0900221485004091,1
4,-3.0920104643184687,-1.0900221485004091,1
5,-3.0920104643184687,-1.0900221485004091,1
6,-3.0920104643184687,-1.0900221485004091,1
7,-3.0920104643184687,-1.0900221485004091,1
8,-3.0920104643184687,-1.0900221485004091,1
9,-3.0920104643184687,-1.0900221485004091,1
10,-3.0920104643184687,-1.0900221485004091,1
11,-3.0920104643184687,-1.0900221485004091,1
12,-3.0920104643184687,-1.0900221485004091,1
13,-3.0920104643184687,-1.0900221485004091,1
14,-3.0920104643184687,-1.0900221485004091,1
15,-3.0920104643184687,-1.0900221485004091,1
16,-3.0920104643184687,-1.0900221485004091,1
17,-3.0920104643184687,-1.0900221485004091,1
18,-3.0920104643184687,-1.0900221485004091,1
19,-3.0920104643184687,-1.0900221485004091,1
20,-1.6798933915302587,-1.1410091422598965,1
21,-1.6798933915302587,-1.1410091422598965,1
22,-1.6798933915302587,-1.1410091422598965,1
23,-1.6798933915302587,-1.1410091422598965,1
24,-1.6798933915302587,-1.1410091422598965,1
25,-1.6798933915302587,-1.1410091422598965,1
26,-1.6798933915302587,-1.1410091422598965,1
27,-1.6798933915302587,-1.1410091422598965,1
28,-1.6798933915302587,-1.1410091422598965,1
29,-1.6798933915302587,-1.1410091422598965,1
30,-1.6798933915302587,-1.1410091422598965,1
31,-1.6798933915302587,-1.1410091422598965,1
32,-1.6798933915302587,-1.1410091422598965,1
33,1.0029946445720401,3.5079816378444586,4
34,1.0029946445720401,3.5079816378444586,4
35,1.0029946445720401,3.5079816378444586,4
36,1.0029946445720401,3.5079816378444586,4
37,1.0029946445720401,3.5079816378444586,4
38,1.0029946445720401,3.5079816378444586,4
39,1.0029946445720401,3.5079816378444586,4
40,1.0029946445720401,3.5079816378444586,4
41,-2.689931388459868,3.5538987826247004,5
42,-2.689931388459868,3.5538987826247004,5
43,-2.689931388459868,3.5538987826247004,5
44,-2.689931388459868,3.5538987826247004,5
45,-2.689931388459868,3.5538987826247004,5
46,1.522714094581739,1.1643172408459257,2
47,1.522714094581739,1.1643172408459257,2
48,1.522714094581739,1.1643172408459257,2
49,1.522714094581739,1.1643172408459257,2
50,1.522714094581739,1.1643172408459257,2
51,1.522714094581739,1.1643172408459257,2
52,1.522714094581739,1.1643172408459257,2
53,4.1374632028997285,-0.8254259703714152,3
54,4.1374632028997285,-0.8254259703714152,3
55,4.1374632028997285,-0.8254259703714152,3
56,4.1374632028997285,-0.8254259703714152,3
57,4.1374632028997285,-0.8254259703714152,3
58,5.3426221480875284,-0.5034543517609057,3
59,5.3426221480875284,-0.5034543517609057,3
60,5.3426221480875284,-0.5034543517609057,3
61,5.3426221480875284,-0.5034543517609057,3
62,5.3426221480875284,-0.5034543517609057,3
63,4.643809720201495,-2.0458906700433483,6
64,4.643809720201495,-2.0458906700433483,6
65,4.643809720201495,-2.0458906700433483,6
66,5.704556194790937,-1.5226440872073916,6
67,5.704556194790937,-1.5226440872073916,6
68,5.704556194790937,-1.5226440872073916,6
