field1,Name,NewCode,code,Groupping,Sweetness,L,A,B,Total_phenol,Total_Flavonoid,Antioxidant,caffeic_acid,Theobromine,K,Fe,Zn,Na,sucrose_maltose,fluctose_arabinise,Lactic_acid,Malic_acid,Propionic_acid,Quinic_acid,Apartic_acid,Serine,alanine,glycine,threonine,glutamic_acid,proline,histidine,arginine,leucine,phynylalanine
21,DC2,DC8002-2,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
22,DC2,DC8002-3,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
23,DC2,DC8002-4,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
24,DC2,DC8002-5,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
25,DC2,DC8002-6,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
26,DC2,DC8002-7,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
27,DC2,DC8002-8,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
28,DC2,DC8002-9,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
29,DC2,DC8002-10,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
30,DC2,DC8002-11,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
31,DC2,DC8002-12,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
32,DC2,DC8002-13,F2,1,18,48.49,0.78,12.39,2.68,19.32,10.36,0,0.01,10049.52,17.54,19.82,84.7,31.99,0.89,0.09,3,0.04,4.81,183.84,105.1,205.9,22.32,26.88,458.84,50.16,34.49,133.82,51.59,68.91
80,PD1,PD10001-1,F14,4,15.3,57.59,2.03,13.95,2.99,21.57,14.41,0.02,0,9167.92,12.96,15.52,51.45,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,34.54,159.28,62.64,70.72
81,PD1,PD10001-2,F14,4,15.3,57.59,2.03,13.95,2.99,21.57,14.41,0.02,0,9167.92,12.96,15.52,51.45,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,34.54,159.28,62.64,70.72
82,PD1,PD10001-3,F14,4,15.3,57.59,2.03,13.95,2.99,21.57,14.41,0.02,0,9167.92,12.96,15.52,51.45,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,34.54,159.28,62.64,70.72
83,PD1,PD10001-4,F14,4,15.3,57.59,2.03,13.95,2.99,21.57,14.41,0.02,0,9167.92,12.96,15.52,51.45,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,34.54,159.28,62.64,70.72
84,PD1,PD10001-5,F14,4,15.3,57.59,2.03,13.95,2.99,21.57,14.41,0.02,0,9167.92,12.96,15.52,51.45,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,34.54,159.28,62.64,70.72
85,PD1,PD10001-6,F14,4,15.3,57.59,2.03,13.95,2.99,21.57,14.41,0.02,0,9167.92,12.96,15.52,51.45,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,34.54,159.28,62.64,70.72
86,PD1,PD10001-7,F14,4,15.3,57.59,2.03,13.95,2.99,21.57,14.41,0.02,0,9167.92,12.96,15.52,51.45,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,34.54,159.28,62.64,70.72
87,PD1,PD10001-8,F14,4,15.3,57.59,2.03,13.95,2.99,21.57,14.41,0.02,0,9167.92,12.96,15.52,51.45,28.42,0.53,0.12,3.01,0.04,3.91,152.46,109.54,239.7,35.62,28.43,219.07,51.49,34.54,159.28,62.64,70.72
117,ML7001,ML7001-1,F21,5,15,56.02,0.7,15.48,1.99,14.03,13.04,0.02,0.01,9652.07,15.09,13.32,60.13,28.14,0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,28.55,132.51,37.91,53.3
118,ML7001,ML7001-2,F21,5,15,56.02,0.7,15.48,1.99,14.03,13.04,0.02,0.01,9652.07,15.09,13.32,60.13,28.14,0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,28.55,132.51,37.91,53.3
119,ML7001,ML7001-3,F21,5,15,56.02,0.7,15.48,1.99,14.03,13.04,0.02,0.01,9652.07,15.09,13.32,60.13,28.14,0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,28.55,132.51,37.91,53.3
120,ML7001,ML7001-4,F21,5,15,56.02,0.7,15.48,1.99,14.03,13.04,0.02,0.01,9652.07,15.09,13.32,60.13,28.14,0,0.1,2.67,0.02,3.58,90.6,54.91,176.8,22.23,22.3,130.1,40.9,28.55,132.51,37.91,53.3
