,Name,New Code, code ,Groupping,Sweetness,L,A,B,density,Fatty,Total_protein,Total_sugar,Total_phenol,Total_Flavonoid,Antioxidant,caffeic_acid ,Caffeine,Chrogenic_acid , Trigonelline , Theobromine,K,Ca,Fe,Zn,Na,Mg,sucrose_maltose ,fluctose_arabinise,Lactic_acid,Malic_acid,Propionic_acid,Quinic_acid,Apartic_acid ,Serine, alanine,glycine,threonine, glutamic_acid,proline,lysine,histidine,arginine,valine,metheonine,tyrosine,isoleucine,leucine, phynylalanine,Tryptophan,adenosine
0,DC1,DC8001-1,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
1,DC1,DC8001-2,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
2,DC1,DC8001-3,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
3,DC1,DC8001-4,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
4,DC1,DC8001-5,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
5,DC1,DC8001-6,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
6,DC1,DC8001-7,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
7,DC1,DC8001-8,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
8,DC1,DC8001-9,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
9,DC1,DC8001-10,F1,1,17.5,44.83,0.45,11.11,0.67,370.2,287.64,59.94,2.56,18.45,11.7,0.01,1.32,5.61,1.46,0.01,8366.91,138.79,32.28,17.34,56.77,1141.36,47.28,4.23,0.09,3.09,0.04,3.92,119.05,104.17,203.3,13.49,26.27,410.72,48.4,41.49,26.76,136.15,60.93,12.1,40.74,39.18,52.01,61.76,185.23,46.94
